"id","customer_id","category","status","creation_date","response_time","resolution_time"
1,1062,"Installation Problem","In Progress","2023-01-26T00:00:00.000",6,"0 hours"
2,892,"Billing enquiry","Open","2023-06-18T00:00:00.000",3,"0 hours"
3,433,"Feedback","Open","2023-08-17T00:00:00.000",1,"0 hours"
6,764,"Billing enquiry","Open","2023-01-16T00:00:00.000",3,"0 hours"
7,1144,"Billing enquiry","Open","2023-06-01T00:00:00.000",2,"0 hours"
8,288,"Feedback","Open","2023-01-22T00:00:00.000",2,"0 hours"
9,1495,"Bug","In Progress","2023-02-05T00:00:00.000",1,"0 hours"
10,1090,"Bug","In Progress","2023-05-09T00:00:00.000",3,"0 hours"
11,1397,"Feedback","In Progress","2023-09-17T00:00:00.000",2,"0 hours"
12,54,"Feedback","Open","2023-09-13T00:00:00.000",2,"0 hours"
14,1207,"Bug","Resolved","2023-09-04T00:00:00.000",2,"2.41 hours"
15,1256,"Bug","In Progress","2023-11-20T00:00:00.000",3,"0 hours"
16,146,"Feedback","Open","2023-09-08T00:00:00.000",1,"0 hours"
17,455,"Installation Problem","In Progress","2023-11-07T00:00:00.000",7,"0 hours"
19,950,"Bug","In Progress","2023-11-21T00:00:00.000",2,"0 hours"
21,215,"Feedback","Open","2023-05-22T00:00:00.000",2,"0 hours"
23,1379,"Feedback","Open","2023-07-12T00:00:00.000",1,"0 hours"
24,1177,"Bug","Open","2023-03-14T00:00:00.000",3,"0 hours"
28,1217,"Feedback","Open","2023-08-16T00:00:00.000",2,"0 hours"
29,33,"Feedback","Open","2023-10-30T00:00:00.000",2,"0 hours"
30,940,"Installation Problem","In Progress","2023-09-21T00:00:00.000",5,"0 hours"
31,1932,"Other","-","2023-09-23T00:00:00.000",2,"3.53 hours"
34,1744,"Installation Problem","In Progress","2023-11-20T00:00:00.000",8,"0 hours"
36,569,"Billing enquiry","Open","2023-05-15T00:00:00.000",3,"0 hours"
37,621,"Installation Problem","In Progress","2023-04-03T00:00:00.000",7,"0 hours"
38,539,"Feedback","Open","2023-03-04T00:00:00.000",1,"0 hours"
41,1189,"Bug","Resolved","2023-01-20T00:00:00.000",7,"3.91 hours"
43,1852,"Other","-","2023-11-12T00:00:00.000",1,"5.11 hours"
45,1120,"Billing enquiry","Open","2023-02-27T00:00:00.000",3,"0 hours"
46,47,"Feedback","Open","2023-02-06T00:00:00.000",1,"0 hours"
47,1831,"Installation Problem","In Progress","2023-03-31T00:00:00.000",7,"0 hours"
49,1198,"Installation Problem","In Progress","2023-05-25T00:00:00.000",6,"0 hours"
51,864,"Billing enquiry","Open","2023-04-13T00:00:00.000",3,"0 hours"
53,1703,"Installation Problem","Open","2023-08-24T00:00:00.000",6,"0 hours"
54,1480,"Feedback","Open","2023-09-20T00:00:00.000",1,"0 hours"
55,722,"Bug","Open","2023-01-17T00:00:00.000",4,"0 hours"
56,332,"Feedback","Open","2023-10-13T00:00:00.000",1,"0 hours"
57,1449,"Installation Problem","In Progress","2023-05-28T00:00:00.000",6,"0 hours"
58,665,"Billing enquiry","Open","2023-04-15T00:00:00.000",3,"0 hours"
61,680,"Bug","Open","2023-04-19T00:00:00.000",2,"0 hours"
62,358,"Billing enquiry","Open","2023-08-14T00:00:00.000",6,"0 hours"
63,15,"Feedback","Open","2023-05-02T00:00:00.000",1,"0 hours"
64,1922,"Other","-","2023-04-13T00:00:00.000",3,"3.79 hours"
66,1764,"Billing enquiry","Open","2023-07-07T00:00:00.000",4,"0 hours"
67,654,"Bug","Open","2023-04-25T00:00:00.000",7,"0 hours"
68,412,"Feedback","Open","2023-01-24T00:00:00.000",2,"0 hours"
69,697,"Billing enquiry","In Progress","2023-10-22T00:00:00.000",3,"0 hours"
71,1288,"Installation Problem","Resolved","2023-01-11T00:00:00.000",5,"5.22 hours"
72,407,"Feedback","Open","2023-11-11T00:00:00.000",1,"0 hours"
73,235,"Feedback","Open","2023-10-20T00:00:00.000",1,"0 hours"
74,273,"Bug","In Progress","2023-09-25T00:00:00.000",2,"0 hours"
75,1831,"Other","-","2023-05-06T00:00:00.000",4,"4 hours"
79,278,"Feedback","Open","2023-07-24T00:00:00.000",2,"0 hours"
82,527,"Feedback","Open","2023-08-28T00:00:00.000",1,"0 hours"
83,959,"Bug","-","2023-06-20T00:00:00.000",2,"4.76 hours"
85,493,"Installation Problem","In Progress","2023-09-30T00:00:00.000",5,"0 hours"
87,1548,"Bug","-","2023-01-12T00:00:00.000",2,"4.84 hours"
